full_name,url,url_api
Ali Yasar,https://www.mackolik.com/futbolcu/ali-ya%C5%9Far/sezon/1b7fap7pc7160w76cthd2watx,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=dffn22be69d945d62hmqc2qdw&ctst=4rjsyxn0rlbjggofvvpbmk8pc&_lcl=tr&_fmt=jsonp&_clbk=W34ed161bf92d9a3cca7ddb4a6509b3fbeeaf611bf
Stephane Sessegnon,https://www.mackolik.com/futbolcu/s-sess%C3%A8gnon/sezon/dp0na87h30arrjzq79mvk161h,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=8v3744odkpenwvp6af6kw9fdg&ctst=bfwydd83ai40gr72frky3ikip&_lcl=tr&_fmt=jsonp&_clbk=W3233c6c1cf8e682461badafd6b9b0c008f84d13c5
Hakan Arslan,https://www.mackolik.com/futbolcu/hakan-arslan/sezon/5nzxrmoryety8i69tanlcz1zp,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=dffn22be69d945d62hmqc2qdw&ctst=f432akygffyamal3h6poig65t&_lcl=tr&_fmt=jsonp&_clbk=W3a7a30de8af7d362cc4ade3c66e3c5ca4d07738aa
Prejuce Niguimbe Nakoulma,https://www.mackolik.com/futbolcu/p-nakoulma/sezon/5eisfotmp9wje2k1yi17w2f2t,https://api.performfeeds.com/soccerdata/squads/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=1v8cuhx49dnbq7xilfxmsv9jo&_pgSz=200&_lcl=tr&_fmt=jsonp&_clbk=W398a3e6ec992b6caa2fb279e6f5a3d2043afe908c
Florent Hadergjonaj,https://www.mackolik.com/futbolcu/f-had%C3%ABrgjonaj/sezon/bv9ejevyrwdqc1j5rw4tkiy1h,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=dffn22be69d945d62hmqc2qdw&ctst=4idg23egrrvtrbgrg7p5x7bwf&_lcl=tr&_fmt=jsonp&_clbk=W329ac7626bf67ce92493dc11354637701d33bb680
Josue Humberto Goncalves Leal Sa,https://www.mackolik.com/futbolcu/josu%C3%A9-s%C3%A1/sezon/110maz3wmyhfk670un6ieloet,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=6fdb784d9srg4anqx5ylvagpg&ctst=cgvbluoerzbzcr7aaxge3wkcv&_lcl=tr&_fmt=jsonp&_clbk=W39c8136616157ee8d03e901a8eb36c8df7fca2386
Ervin Zukanovic,https://www.mackolik.com/futbolcu/e-zukanovi%C4%87/sezon/5a142z56gedkgsei0a9igjzyt,https://api.performfeeds.com/soccerdata/squads/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=4mw5ocie1drbzjdz0705t7uac&_pgSz=200&_lcl=tr&_fmt=jsonp&_clbk=W3113de2089b23f1bd07b1d2107d56d58faa4de67c
Ajdin Hasic,https://www.mackolik.com/futbolcu/a-hasi%C4%87/sezon/8dqat1x426eu0hcyyxqdmu8ve,https://api.performfeeds.com/soccerdata/squads/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=2y75xa2qc4nrx5k7tg8k75p90&_pgSz=200&_lcl=tr&_fmt=jsonp&_clbk=W3e695f2f4944d0415994743bc59f79633c0663088
Ahmet Oguz,https://www.mackolik.com/futbolcu/ahmet-o%C4%9Fuz/sezon/8tvdf7atr0xvsn7fmgsltrbo5,https://api.performfeeds.com/soccerdata/squads/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=dffn22be69d945d62hmqc2qdw&_pgSz=200&_lcl=tr&_fmt=jsonp&_clbk=W39994340d540672f57062ce9db1a90b8ef893c148
Isaac Kiese Thelin,https://www.mackolik.com/futbolcu/i-kiese-thelin/sezon/90eoelhr2oxpg3ejr2whwwu6t,https://api.performfeeds.com/soccerdata/squads/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=6zbcyt6sk9a391axx3yjbjeac&_pgSz=200&_lcl=tr&_fmt=jsonp&_clbk=W3170642ce923310f5a02894ee9fcfd31a6dc27e95
Fabrice N'Sakala,https://www.mackolik.com/futbolcu/f-nsakala/sezon/4mg7cgnkfus30grbuuhudplh,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=dffn22be69d945d62hmqc2qdw&ctst=2ez9cvam9lp9jyhng3eh3znb4&_lcl=tr&_fmt=jsonp&_clbk=W30353bf5902c3a83283ab8aba9d409abf82c1ad94
Adis Jahovic,https://www.mackolik.com/futbolcu/a-jahovi%C4%87/sezon/ab3gnerpry1i0dpf4xc39sj4l,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=2y75xa2qc4nrx5k7tg8k75p90&ctst=2wewa9ecjudncv3fs8d3ind9l&_lcl=tr&_fmt=jsonp&_clbk=W3ae519e7224c5494133bedabf3304be8d21ee8999
Serdar Dursun,https://www.mackolik.com/futbolcu/s-dursun/sezon/en171a77ekjc8ppfxspdw41jp,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=dffn22be69d945d62hmqc2qdw&ctst=8lroq0cbhdxj8124qtxwrhvmm&_lcl=tr&_fmt=jsonp&_clbk=W3468d5c7d7c9ef8459ba61f02f7a876de3e6d68b3
Andre Ivan Biyogo Poko,https://www.mackolik.com/futbolcu/a-biyogo-poko/sezon/7q7awmtwv66htmei0xy1hzdn9,https://api.performfeeds.com/soccerdata/squads/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=dox62oj6vw1w67n476jb9fzf8&_pgSz=200&_lcl=tr&_fmt=jsonp&_clbk=W395e54a006c5551431fd6558bb787e5b7d7a536c3
Ugurcan Yazgili,https://www.mackolik.com/futbolcu/u%C4%9Furcan-yazg%C4%B1l%C4%B1/sezon/bg3sod57hai0y274n9qkselm1,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=dffn22be69d945d62hmqc2qdw&ctst=cw4lbdzlqqdvbkdkz00c9ye49&_lcl=tr&_fmt=jsonp&_clbk=W34e239ddda3cbb15b0d0a4ca3f5a3ffbc9a90e967
Vitor Hugo Franchescoli de Souza,https://www.mackolik.com/futbolcu/vitor-hugo/sezon/4i8z8npx2zxi3flqgnskg24t1,https://api.performfeeds.com/soccerdata/squads/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=czjx4rda7swlzql5d1cq90r8&_pgSz=200&_lcl=tr&_fmt=jsonp&_clbk=W3d13c3d9dc82bbdd82d443a4b1a9906891687f13f
Robin Yalcin,https://www.mackolik.com/futbolcu/robin-yal%C3%A7%C4%B1n/sezon/7ky33hys0fljph2hyrw2e1hhx,https://api.performfeeds.com/soccerdata/squads/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=dffn22be69d945d62hmqc2qdw&_pgSz=200&_lcl=tr&_fmt=jsonp&_clbk=W39994340d540672f57062ce9db1a90b8ef893c148
Kevin Manuel Rodrigues,https://www.mackolik.com/futbolcu/k%C3%A9vin-rodrigues/sezon/7k55295fkimhvxbglho33bphx,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=dffn22be69d945d62hmqc2qdw&ctst=4iqb7tq3rn4k3ynintvhxhx1i&_lcl=tr&_fmt=jsonp&_clbk=W3a74e39e57be9e4dc531caf2a9d956d6ee7f09db2
Salih Dursun,https://www.mackolik.com/futbolcu/salih-dursun/sezon/9kjouut5tuka7f70ar6mdztg5,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=dffn22be69d945d62hmqc2qdw&ctst=c3txoz57mu7w9y1jprvnv2flr&_lcl=tr&_fmt=jsonp&_clbk=W388b3ebb66e545fd6627926464c5c7a0bd5e7f141
Hasan Huseyin Acar,https://www.mackolik.com/futbolcu/hasan-h%C3%BCseyin-acar/sezon/hzgbd6v3gpm6olwbkkz2z2dx,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=3salaf435a8ab1u0q3er4639w&ctst=6ctotfvgksdlfiuptih565s3m&_lcl=tr&_fmt=jsonp&_clbk=W3e85bd13e18b7bb801cd5b1ec8816ad276aed924a
Kristijan Bistrovic,https://www.mackolik.com/futbolcu/k-bistrovi%C4%87/sezon/cnexf6pdh1piheuuqzrbb1t61,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=d1k1pqdg2yvw8e8my74yvrdw4&ctst=3ebril33e08ddzob4bhq8awsr&_lcl=tr&_fmt=jsonp&_clbk=W3ec2be067668f10437fabdf54638aa2d679d485ba
Melih Okutan,https://www.mackolik.com/futbolcu/melih-okutan/sezon/ci1okmvwpqr7jl18sjk17m9jp,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=2y75xa2qc4nrx5k7tg8k75p90&ctst=5819kl54xjobqldu6vd1akssf&_lcl=tr&_fmt=jsonp&_clbk=W35782396a2830b7fb77332b476d1305516f19a417
Ismael Tiemoko Diomande,https://www.mackolik.com/futbolcu/i-diomand%C3%A9/sezon/8jvya0g43i77glcwikdcth2ol,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=8xvasw97g9t7jfd0p81pi0iz8&ctst=czsohsjmwhettk5rmxh8re9gq&_lcl=tr&_fmt=jsonp&_clbk=W382618a742273231948cc04662e63f818397f786a
