full_name,priceA,height,body_mass_index,foot,age,position,Successfull Pass Rate,Total Successful Passes,Duels Rate,Duels,Total Losses Of Possession,Time Played,Appearances,Recoveries,Touches,Games Played,Winning Goal,Goals Conceded,Key Passes,Total Shots,Yellow Cards,label
Nacer Chadli,2800000,1.87,24.307,2,34,2,0.7651632970451011,492.0,0.4177215189873418,158.0,230,1611,26,76,861,26,2,29.0,14.0,21.0,0.0,2
Arnaud Rene Lusamba,1700000,1.8,22.84,2,26,2,0.8668478260869565,638.0,0.5089820359281437,167.0,172,1423,27,86,972,27,0,29.0,13.0,2.0,1.0,1
Zeki Yavru,575000,1.78,22.724,2,32,1,0.7985559566787004,1106.0,0.5895196506550219,229.0,397,2685,31,175,1982,31,1,25.0,31.0,16.0,3.0,2
Axel Thomas Ngando Elessa,600000,1.79,22.159,1,30,2,0.866785079928952,488.0,0.5333333333333333,135.0,157,1015,18,65,774,18,0,13.0,14.0,9.0,0.0,2
William Paul Troost-Ekong,4000000,1.91,22.477,2,30,1,0.8287671232876712,121.0,0.6666666666666666,36.0,27,350,7,12,180,7,0,6.0,1.0,1.0,1.0,2
Furkan Soyalp,1000000,1.75,23.837,2,28,2,0.7510460251046025,359.0,0.4489795918367347,196.0,162,1301,25,107,728,25,0,20.0,11.0,17.0,7.0,1
Teenage Lingani Hadebe,1500000,1.8,22.84,1,28,1,0.8655256723716381,354.0,0.5476190476190477,42.0,62,720,8,34,505,8,0,8.0,1.0,1.0,1.0,1
Pape Cherif Ndiaye,1800000,1.9,22.992,2,27,3,0.8148148148148148,132.0,0.4672131147540984,122.0,94,782,11,36,337,11,1,19.0,8.0,24.0,1.0,2
Britt Curtis Assombalonga,3400000,1.77,24.897,2,31,3,0.65,13.0,0.2666666666666666,30.0,27,177,11,8,55,11,0,3.0,2.0,4.0,1.0,2
Donis Avdijaj,500000,1.72,23.661,2,27,3,0.7171428571428572,251.0,0.45,160.0,204,1103,14,70,607,14,1,15.0,17.0,25.0,3.0,1
Hamza Mendyl,1000000,1.79,22.783,1,26,1,0.7909887359198998,632.0,0.4838709677419355,186.0,301,2068,28,114,1312,28,0,30.0,13.0,4.0,8.0,2
Anthony Nwakaeme,2500000,1.85,23.375,2,34,3,0.7967377666248432,635.0,0.3963414634146341,328.0,369,1939,23,66,1279,23,3,30.0,35.0,57.0,2.0,2
Recep Niyaz,1100000,1.65,22.039,3,28,2,0.864516129032258,670.0,0.4265734265734265,143.0,165,1508,21,89,994,21,1,12.0,26.0,30.0,5.0,2
Rashad Muhammed,200000,1.84,24.22,2,30,3,0.6153846153846154,176.0,0.3481228668941979,293.0,378,1924,28,80,797,28,6,27.0,16.0,44.0,5.0,1
Stipe Perica,1700000,1.92,20.616,2,28,3,0.6766169154228856,136.0,0.2677165354330709,127.0,119,1110,27,22,358,27,0,21.0,5.0,27.0,3.0,2
Islam Slimani,2500000,1.88,23.483,2,35,3,0.706140350877193,161.0,0.5909090909090909,88.0,103,633,10,11,339,10,3,13.0,10.0,29.0,2.0,2
Nouha Dicko,700000,1.73,24.725,2,31,3,0.7551020408163265,370.0,0.3782383419689119,193.0,274,2219,30,66,830,30,2,30.0,21.0,47.0,6.0,2
Michy Batshuayi-Atunga,9500000,1.85,22.206,2,30,3,0.7026022304832714,189.0,0.4198473282442748,131.0,153,1077,17,22,462,17,4,9.0,14.0,31.0,4.0,1
Gustavo Ezequiel Blanco Leschuk,1000000,1.9,24.377,2,32,3,0.583596214511041,185.0,0.5622489959839357,249.0,213,1115,29,43,531,29,2,6.0,11.0,22.0,5.0,2
